NSD,Gen_type,arch,ft,size
-0.06384666314277894,ROB,eo,adapter,large
-0.06949742157263157,ROB,ed,lora,large
-0.07188891443472194,ROB,ed,plain,large
-0.06074758043213063,ROB,eo,adapter,base
-0.0663803199323189,ROB,ed,plain,base
-0.06706059619429182,ROB,eo,plain,base
-0.06947179655275812,ROB,do,adapter,base
-0.08629386512405066,ROB,do,lora,base
-0.07013265293564014,ROB,eo,plain,base
-0.06990822178850246,ROB,ed,plain,large
-0.07417695022533283,ROB,eo,plain,large
-0.06374320553825931,ROB,eo,adapter,large
-0.0701099166874469,ROB,ed,lora,large
-0.060460248814941754,ROB,eo,adapter,base
-0.06788959061101991,ROB,do,plain,base
-0.07392695082528207,ROB,do,lora,large
-0.0689396346274373,ROB,ed,adapter,large
-0.06900968164829428,ROB,eo,adapter,large
-0.07253046638661938,ROB,do,adapter,large
-0.06039439631046044,ROB,eo,lora,base
-0.06952077733712435,ROB,do,plain,large
-0.06151115350396189,ROB,eo,lora,base
-0.05666741825050043,ROB,eo,lora,large
-0.0585003199802878,ROB,eo,adapter,base
-0.06383138813864848,ROB,ed,adapter,base
0.046857656146928536,Comp,eo,plain,base
0.07373480702520328,Comp,eo,adapter,large
0.06661521311897153,Comp,ed,adapter,large
0.05616409457507748,Comp,eo,lora,base
0.08287334618231859,Comp,do,adapter,base
0.10561053356435199,Comp,do,lora,base
0.06688872147649032,Comp,ed,adapter,base
0.08714998704908593,Comp,eo,lora,large
0.06615240979148004,Comp,eo,plain,large
0.05215233722922793,Comp,do,plain,base
0.06590325850208106,Comp,ed,plain,large
0.0801907839625727,Comp,eo,lora,large
0.055716033562829004,Comp,eo,plain,base
0.07673417551676966,Comp,eo,adapter,base
0.06771173683896696,Comp,do,plain,large
0.06435814556760923,Comp,ed,plain,base
0.08428634143238978,Comp,eo,adapter,large
0.08441119941821201,Comp,eo,lora,base
0.06300668413371356,Comp,ed,lora,base
0.062473632651893866,Comp,eo,plain,large
0.06534483099978217,Comp,ed,plain,large
0.075230228980333,Comp,do,plain,base
0.009150954308490245,Comp,do,adapter,large
0.059184506823924246,Comp,eo,plain,base
0.07805641436696051,Comp,eo,adapter,base
0.05624089566672136,Comp,ed,plain,base
0.02809288292338964,Comp,do,plain,large
0.08350664901997859,Comp,do,lora,large
0.07989056061568672,Comp,eo,lora,base
0.07206884902439344,Comp,ed,lora,base
0.06516635181739819,Comp,eo,plain,large
0.07285303758899052,Comp,eo,adapter,large
0.08927992328339311,Comp,eo,adapter,base
0.10887329368176449,Comp,do,adapter,base
0.10107574642212935,Comp,eo,lora,large
0.12645622904202294,Comp,do,lora,base
0.0738086705100661,Comp,eo,plain,large
0.0834892474838183,Comp,ed,lora,large
0.05408011647774349,Comp,eo,plain,base
0.07708396586040543,Comp,eo,adapter,base
0.07657901256522391,Comp,eo,lora,large
0.07203381227909902,Comp,do,plain,base
0.051766036924314064,Comp,do,adapter,large
0.06382014023503975,Comp,eo,plain,large
0.08226679703574692,Comp,eo,adapter,large
0.11526115017069147,Comp,do,lora,large
0.06442359995638625,Comp,do,plain,large
0.08056871424629253,Comp,eo,adapter,base
0.015767813460935753,Comp,do,adapter,base
0.06688008017426363,Comp,ed,adapter,large
0.07616695933755568,Comp,eo,adapter,large
0.05395140712477024,Comp,eo,plain,base
0.0457490814587906,Comp,eo,lora,base
0.08272305132771197,Comp,ed,lora,large
0.10852046565224202,Comp,eo,lora,large
0.06178282869310826,Comp,ed,adapter,base
0.060149619460266396,Comp,eo,adapter,base
0.07142573864763038,Comp,ed,adapter,large
0.04954391855927538,Comp,eo,plain,base
0.06566834676767018,Comp,eo,lora,base
0.0747431829427172,Comp,eo,plain,large
0.08422059358404359,Comp,ed,lora,large
0.09715069262246402,Comp,do,lora,base
0.07426034627951107,Comp,ed,adapter,base
0.081963291064683,Comp,eo,lora,large
0.01725603284344501,Comp,do,adapter,large
0.06187311348309599,Comp,ed,plain,large
0.0801088495886683,Comp,eo,adapter,large
0.08585655750286333,Comp,eo,lora,base
0.08495737229290677,Comp,ed,lora,base
0.09936489131455811,Comp,do,lora,large
0.06435814556760923,Comp,ed,plain,base
-0.14564873596130956,ROB,do,lora,large
-0.1274402677775736,ROB,eo,adapter,large
-0.13817184555748696,ROB,eo,adapter,base
-0.12518122768027615,ROB,ed,adapter,base
-0.17344572161758537,ROB,do,adapter,base
-0.10961129400094462,ROB,do,plain,large
-0.1653423374139,ROB,do,lora,base
-0.15553414953273484,ROB,eo,lora,large
-0.11339052254917985,ROB,eo,plain,base
-0.09926845394115184,ROB,ed,adapter,large
-0.10491632201468029,ROB,eo,plain,large
-0.12021906078629822,ROB,do,plain,base
-0.1647777122847222,ROB,eo,adapter,base
-0.10923814010236368,ROB,eo,lora,large
-0.10595487381614721,ROB,ed,lora,large
-0.1882674188235856,ROB,eo,lora,base
-0.10718542071069735,ROB,do,plain,large
-0.15046368434520435,ROB,eo,lora,large
-0.16776132233399182,ROB,do,lora,base
-0.18080186927687203,ROB,do,adapter,base
-0.13700325201208163,ROB,eo,lora,base
-0.1217317746993555,ROB,do,plain,base
-0.16423310756877746,ROB,eo,adapter,base
-0.10377812082265722,ROB,eo,plain,large
-0.20031529320096483,ROB,eo,lora,base
-0.10275176777493034,ROB,eo,adapter,large
-0.1069608212758651,ROB,eo,lora,large
-0.10527705340205784,ROB,ed,lora,large
-0.1147938874182634,ROB,ed,plain,base
-0.12646074467506865,ROB,do,adapter,large
-0.08599527185231158,ROB,eo,plain,large
-0.09666084833054951,ROB,ed,plain,large
-0.13757999290500164,ROB,ed,lora,base
-0.10250224731330743,ROB,eo,plain,base
-0.13698546895967187,ROB,eo,adapter,base
-0.1377056028869956,ROB,eo,lora,base
-0.1126148136063019,ROB,eo,plain,base
-0.16921702945959188,ROB,do,lora,base
-0.148034468099093,ROB,eo,lora,large
-0.15903061999754187,ROB,do,adapter,base
-0.12290431548007412,ROB,ed,adapter,base
-0.1003751205783621,ROB,eo,adapter,large
-0.10764862661064067,ROB,eo,lora,large
-0.16771598193653445,ROB,eo,adapter,base
-0.10100365153630934,ROB,ed,adapter,large
-0.12921856394996978,ROB,eo,adapter,large
-0.08609573401192329,ROB,eo,plain,large
-0.12793032614520608,ROB,do,adapter,large
-0.1415481571415442,ROB,do,lora,large
-0.11513579785186,ROB,ed,plain,base
-0.13309055496447436,ROB,ed,lora,base
-0.1032013886741807,ROB,eo,plain,base
-0.09502951446928855,ROB,ed,plain,large
-0.08490119498122446,ROB,eo,plain,large
-0.1217807596438997,ROB,do,adapter,large
-0.13060908203828145,ROB,eo,adapter,large
-0.11316576279743346,ROB,ed,plain,base
